"routeid","vehicleid","t1","lon1","lat1","t2","lon2","lat2","bear","tdiff","p_index1","p_index2","bear","p_lon1","p_lat1","p_lon2","p_lat2","dist","speed"
1054553,39186,2017-07-22 03:28:14,24.05943,49.7852516,2017-07-22 03:29:13,24.0592833,49.7866349,356.083062312619,59,6,12,354.633220356701,24.0594139619,49.7855232106,24.0592407123125,49.78671389105,0.137050355449523,8.36239456980138
1054553,39186,2017-07-22 03:30:15,24.0586416,49.7934433,2017-07-22 03:31:13,24.053385,49.79663,313.203946521429,58,39,57,312.162020515377,24.0585824771,49.7935596885,24.0534292611,49.7965717708,0.514951156743508,31.9624855909764
1054553,39186,2017-07-22 03:31:13,24.053385,49.79663,2017-07-22 03:32:14,24.0493549,49.7987633,309.355479444152,61,58,69,308.847318536424,24.0534292611,49.7965717708,24.0492061033,49.7987671144,0.389628512235396,22.9944695745479
1054553,39186,2017-07-22 03:32:14,24.0493549,49.7987633,2017-07-22 03:33:13,24.0485783,49.799175,309.396858173457,59,70,73,309.562412116233,24.0492061033,49.7987671144,24.0485134645,49.79913647285,0.0662906644174558,4.04485410004815
1054553,39186,2017-07-22 03:42:14,24.0251983,49.8182766,2017-07-22 03:43:13,24.0251983,49.8182766,0,59,196,197,10.0259111968773,24.02519,49.81809,24.0252426191,49.8182820354,0.02196439837251,1.34020057866163
1054553,39186,2017-07-22 03:43:13,24.0251983,49.8182766,2017-07-22 03:44:14,24.0328283,49.8224333,49.8199373608194,61,205,224,57.470720689468,24.0270008071,49.82003250245,24.0326754362,49.8223673351,0.524935133159966,30.9797783504242
1054553,39186,2017-07-22 03:44:14,24.0328283,49.8224333,2017-07-22 03:45:13,24.0341066,49.8263533,11.879906933493,59,225,244,11.7987885252593,24.0326754362,49.8223673351,24.034032218,49.8265574261,0.506730747512084,30.9191642549746
1054553,39186,2017-07-22 03:45:13,24.0341066,49.8263533,2017-07-22 03:46:14,24.0341066,49.8263533,0,61,240,244,31.3546064417493,24.03354560505,49.82604223315,24.034032218,49.8265574261,0.0782919565278881,4.62050890984258
1054553,39186,2017-07-22 03:46:14,24.0341066,49.8263533,2017-07-22 03:47:13,24.0340633,49.830805,359.640523702396,59,247,266,356.209052035452,24.0341931506,49.8266231776,24.03377214195,49.8307216633,0.565231806673989,34.4887204072265
1054553,39186,2017-07-22 03:47:13,24.0340633,49.830805,2017-07-22 03:48:17,24.0349633,49.8348283,8.2101432193367,64,269,288,6.58158086719437,24.03427904325,49.8313106133,24.0348985715,49.8347739355,0.426054855781417,23.9655856377047
