"lon","lat","routeid","rowid","dir"
23.99171,49.85114,1527114,"297",0
23.99171,49.85114,1527114,"298",0
23.9887753053131,49.8523061249925,1527114,"299",0
23.9872518105926,49.8531984775857,1527114,"300",0
23.9871230645599,49.8532641928228,1527114,"301",0
23.986951403183,49.8533299079708,1527114,"302",0
23.9867368264618,49.8533817882875,1527114,"303",0
23.986597351593,49.853412916451,1527114,"304",0
23.9858141465607,49.8536066023502,1527114,"305",0
23.98497,49.85399,1527114,"306",0
23.98497,49.85399,1527114,"307",0
23.9780035539093,49.8568576426421,1527114,"308",0
23.9704289956512,49.8600393000806,1527114,"309",0
23.9708976897183,49.8604692421277,1527114,"310",0
23.9708976897183,49.8604692421277,1527114,"311",0
23.9714214129868,49.8610732936398,1527114,"312",0
23.9715287013473,49.8611839538469,1527114,"313",0
23.9715769811096,49.8612531163477,1527114,"314",0
23.9715984387817,49.8613291949841,1527114,"315",0
23.9715984387817,49.8613948991647,1527114,"316",0
23.9715716166916,49.86145368704,1527114,"317",0
23.9715287013473,49.8615297653606,1527114,"318",0
23.9703699870529,49.8627193380652,1527114,"319",0
23.9702895207825,49.8628230784822,1527114,"320",0
23.9701607747498,49.8629959786823,1527114,"321",0
23.9695492310944,49.8638950497477,1527114,"322",0
23.9691790862503,49.8644448580389,1527114,"323",0
23.9686909242096,49.8652436249732,1527114,"324",0
23.9685246272507,49.8655444558492,1527114,"325",0
23.967687778038,49.8669310199222,1527114,"326",0
23.9674751910153,49.8674265966165,1527114,"327",0
23.9674751910153,49.8674265966165,1527114,"328",0
23.9670279546204,49.8679821541924,1527114,"329",0
23.9663305802765,49.8691127895334,1527114,"330",0
23.9656332059326,49.8702572283227,1527114,"331",0
23.9652523322525,49.8708622831895,1527114,"332",0
23.965166501564,49.8709590912648,1527114,"333",0
23.9650913997116,49.8710420694606,1527114,"334",0
23.9650109334412,49.8711319623451,1527114,"335",0
23.9648339076462,49.8712598865463,1527114,"336",0
23.9646622462692,49.8713463216254,1527114,"337",0
23.9644691272201,49.871401639995,1527114,"338",0
23.9643745573941,49.8714892005425,1527114,"339",0
23.9643745573941,49.8714892005425,1527114,"340",0
23.9642223639908,49.8714638730849,1527114,"341",0
23.9579889102402,49.8727188899505,1527114,"342",0
23.9579683396338,49.872761724994,1527114,"343",0
23.9540299697342,49.8734967765941,1527114,"344",0
