id,route_id,lng_start,lat_start,lng_finish,lat_finish,dist
73,712988,23.9682832284,49.8304867839,23.9680295337,49.8295841989,0.101935122031
74,712988,23.9680295337,49.8295841989,23.9680295337,49.8295841989,0.0
75,712988,23.9680295337,49.8295841989,23.9677,49.82586,0.414525672677
76,712988,23.9677,49.82586,23.9677,49.82586,0.0
77,712988,23.9677,49.82586,23.9674517436,49.8227488801,0.346181357743
78,712988,23.9674517436,49.8227488801,23.9674732013,49.8226104448,0.0154603662778
79,712988,23.9674732013,49.8226104448,23.9675879128,49.8224526339,0.0193693642878
80,712988,23.9675879128,49.8224526339,23.9676281459,49.8223591895,0.0107771897753
81,712988,23.9676281459,49.8223591895,23.9677622563,49.822141152,0.0260674441312
82,712988,23.9677622563,49.822141152,23.9679580576,49.8218850431,0.0317338548752
